provinsi,nik,nama,jenis_kelamin,gol_darah,alamat,kel_desa,kecamatan,agama,status_pernikahan,pekerjaan,kewarganegaraan,tempat_lahir,tanggal_lahir,penghasilan
Gorontalo,7504234567890406,Sandi Pranoto,Laki-laki,AB,Jl.Sudirman No.4,Gorontalo Kota,Gorontalo Kota,Buddha,Belum Menikah,Petani,WNI,Gorontalo,1983-04-04,1600000
Gorontalo,7505234567890407,Tita Santoso,Perempuan,B,Jl.Teuku Umar No.5,Gorontalo Kota,Gorontalo Kota,Islam,Menikah,Pegawai Negeri,WNI,Gorontalo,1984-05-05,7400000
Gorontalo,7506234567890408,Umi Handayani,Perempuan,AB,Jl.Merdeka No.6,Gorontalo Kota,Gorontalo Kota,Hindu,Belum Menikah,Wiraswasta,WNI,Gorontalo,1985-06-06,3800000
Gorontalo,7507234567890409,Vivi Setiawan,Perempuan,O,Jl.Sudirman No.7,Gorontalo Kota,Gorontalo Kota,Buddha,Menikah,Petani,WNI,Gorontalo,1986-07-07,1300000
Gorontalo,7508234567890410,Wahyu Pranoto,Laki-laki,AB,Jl.Teuku Umar No.8,Gorontalo Kota,Gorontalo Kota,Islam,Belum Menikah,Pegawai Negeri,WNI,Gorontalo,1987-08-08,6400000
Gorontalo,7509234567890411,Xaverius Wijaya,Laki-laki,B,Jl.Merdeka No.9,Gorontalo Kota,Gorontalo Kota,Hindu,Menikah,Wiraswasta,WNI,Gorontalo,1988-09-09,8200000
Gorontalo,7510234567890412,Yanti Setiawati,Perempuan,AB,Jl.Sudirman No.10,Gorontalo Kota,Gorontalo Kota,Buddha,Belum Menikah,Petani,WNI,Gorontalo,1989-10-10,1300000
Jambi,1501234567890183,Kartika Handayani,Perempuan,A,Jl.Merdeka No.1,Kota Jambi,Kota Jambi,Islam,Menikah,Petani,WNI,Jambi,1980-01-01,2200000
Jambi,1502234567890184,Larasati Wijaya,Perempuan,O,Jl.Sisingamangaraja No.2,Padang Bulan,Kota Jambi,Kristen,Belum Menikah,Pegawai Negeri,WNI,Jambi,1981-02-02,5400000
Jambi,1503234567890185,Mega Santoso,Perempuan,B,Jl.Diponegoro No.3,Simpang Empat,Kota Jambi,Hindu,Menikah,Wiraswasta,WNI,Jambi,1982-03-03,8900000
Jambi,1504234567890186,Nadia Wijaya,Perempuan,AB,Jl.Gatot Subroto No.4,Mayang,Kota Jambi,Buddha,Menikah,Pelajar,WNI,Jambi,1983-04-04,500000
Jambi,1505234567890187,Oscar Santoso,Laki-laki,O,Jl.Sudirman No.5,Paal Merah,Kota Jambi,Islam,Belum Menikah,Petani,WNI,Jambi,1984-05-05,2500000
Jambi,1506234567890188,Putri Handayani,Perempuan,A,Jl.Teuku Umar No.6,Simbur,Kota Jambi,Kristen,Menikah,Pegawai Negeri,WNI,Jambi,1985-06-06,4400000
Jambi,1507234567890189,Qori Setiawan,Laki-laki,B,Jl.Kartini No.7,Kelurahan Legok,Kota Jambi,Hindu,Belum Menikah,Wiraswasta,WNI,Jambi,1986-07-07,10300000
Jambi,1508234567890190,Rina Wulandari,Perempuan,AB,Jl.Pattimura No.8,Mayang,Kota Jambi,Buddha,Menikah,Pelajar,WNI,Jambi,1987-08-08,0
Jambi,1509234567890191,Sandi Pranoto,Laki-laki,A,Jl.Ahmad Yani No.9,Simpang Empat,Kota Jambi,Islam,Belum Menikah,Pegawai Swasta,WNI,Jambi,1988-09-09,5400000
Jambi,1510234567890192,Tita Santoso,Perempuan,B,Jl.Imam Bonjol No.10,Paal Merah,Kota Jambi,Kristen,Menikah,Dokter,WNI,Jambi,1989-10-10,8800000
Jawa Barat,3201234567890243,Rina Wulandari,Perempuan,O,Jl.Merdeka No.1,Cicendo,Bandung Kota,Islam,Menikah,Petani,WNI,Bandung,1980-01-01,1800000
Jawa Barat,3202234567890244,Sandi Pranoto,Laki-laki,A,Jl.Sisingamangaraja No.2,Coblong,Bandung Kota,Kristen,Belum Menikah,Pegawai Negeri,WNI,Bandung,1981-02-02,5500000
Jawa Barat,3203234567890245,Tita Santoso,Perempuan,B,Jl.Diponegoro No.3,Regol,Bandung Kota,Hindu,Menikah,Wiraswasta,WNI,Bandung,1982-03-03,8800000
Jawa Barat,3204234567890246,Umi Handayani,Perempuan,AB,Jl.Gatot Subroto No.4,Lengkong,Bandung Kota,Buddha,Menikah,Pelajar,WNI,Bandung,1983-04-04,0
Jawa Barat,3205234567890247,Vivi Setiawan,Perempuan,O,Jl.Sudirman No.5,Cicendo,Bandung Kota,Islam,Belum Menikah,Petani,WNI,Bandung,1984-05-05,1400000
Jawa Barat,3206234567890248,Wahyu Pranoto,Laki-laki,A,Jl.Teuku Umar No.6,Coblong,Bandung Kota,Kristen,Menikah,Pegawai Negeri,WNI,Bandung,1985-06-06,6600000
Jawa Barat,3207234567890249,Xaverius Wijaya,Laki-laki,AB,Jl.Kartini No.7,Regol,Bandung Kota,Hindu,Belum Menikah,Wiraswasta,WNI,Bandung,1986-07-07,10000000
Jawa Barat,3208234567890250,Yanti Setiawati,Perempuan,B,Jl.Pattimura No.8,Lengkong,Bandung Kota,Buddha,Menikah,Pelajar,WNI,Bandung,1987-08-08,100000
Jawa Barat,3209234567890251,Zainal Arifin,Laki-laki,O,Jl.Ahmad Yani No.9,Cicendo,Bandung Kota,Islam,Belum Menikah,Pegawai Swasta,WNI,Bandung,1988-09-09,8800000
Jawa Barat,3210234567890252,Ahmad Santoso,Laki-laki,A,Jl.Merdeka No.10,Coblong,Bandung Kota,Kristen,Menikah,Dokter,WNI,Bandung,1989-10-10,18100000
Jawa Tengah,3301234567890253,Ani Pranoto,Perempuan,B,Jl.Sisingamangaraja No.1,Semarang Kota,Semarang Kota,Islam,Menikah,Petani,WNI,Semarang,1980-01-01,2200000
Jawa Tengah,3302234567890254,Budi Wijaya,Laki-laki,O,Jl.Diponegoro No.2,Tembalang,Semarang Kota,Kristen,Belum Menikah,Pegawai Negeri,WNI,Semarang,1981-02-02,3900000
Jawa Tengah,3303234567890255,Citra Handayani,Perempuan,A,Jl.Gatot Subroto No.3,Barusari,Semarang Kota,Hindu,Menikah,Wiraswasta,WNI,Semarang,1982-03-03,8700000
Jawa Tengah,3304234567890256,Darma Setiawan,Laki-laki,AB,Jl.Sudirman No.4,Candisari,Semarang Kota,Buddha,Menikah,Pelajar,WNI,Semarang,1983-04-04,100000
Jawa Tengah,3305234567890257,Edi Santoso,Laki-laki,B,Jl.Teuku Umar No.5,Pedurungan,Semarang Kota,Islam,Belum Menikah,Petani,WNI,Semarang,1984-05-05,1500000
Jawa Tengah,3306234567890258,Fitriani Wijaya,Perempuan,AB,Jl.Kartini No.6,Banyumanik,Semarang Kota,Kristen,Menikah,Pegawai Negeri,WNI,Semarang,1985-06-06,7700000
Jawa Tengah,3307234567890259,Gandi Santoso,Laki-laki,O,Jl.Pattimura No.7,Tembalang,Semarang Kota,Hindu,Belum Menikah,Wiraswasta,WNI,Semarang,1986-07-07,8700000
Jawa Tengah,3308234567890260,Hadi Setiawan,Laki-laki,A,Jl.Ahmad Yani No.8,Barusari,Semarang Kota,Buddha,Menikah,Pelajar,WNI,Semarang,1987-08-08,500000
Jawa Tengah,3309234567890261,Indah Wijaya,Perempuan,B,Jl.Merdeka No.9,Pedurungan,Semarang Kota,Islam,Belum Menikah,Pegawai Swasta,WNI,Semarang,1988-09-09,9900000
Jawa Tengah,3310234567890262,Joko Santoso,Laki-laki,AB,Jl.Sisingamangaraja No.10,Banyumanik,Semarang Kota,Kristen,Menikah,Dokter,WNI,Semaran,1989-10-10,18900000
Jawa Timur,3501234567890273,Umi Handayani,Perempuan,A,Jl.Sudirman No.1,Sawahan,Surabaya Kota,Islam,Menikah,Wiraswasta,WNI,Surabaya,1980-01-01,12200000
Jawa Timur,3502234567890274,Vivi Setiawan,Perempuan,AB,Jl.Teuku Umar No.2,Genteng,Surabaya Kota,Buddha,Menikah,Pelajar,WNI,Surabaya,1981-02-02,200000
Jawa Timur,3503234567890275,Wahyu Pranoto,Laki-laki,B,Jl.Merdeka No.3,Sukolilo,Surabaya Kota,Hindu,Belum Menikah,Petani,WNI,Surabaya,1982-03-03,1500000
Jawa Timur,3504234567890276,Xaverius Wijaya,Laki-laki,O,Jl.Gatot Subroto No.4,Krembangan,Surabaya Kota,Islam,Menikah,Pegawai Negeri,WNI,Surabaya,1983-04-04,3800000
Jawa Timur,3505234567890277,Yanti Setiawati,Perempuan,A,Jl.Diponegoro No.5,Pabean Cantian,Surabaya Kota,Kristen,Belum Menikah,Wiraswasta,WNI,Surabaya,1984-05-05,15000000
Jawa Timur,3506234567890278,Zainal Arifin,Laki-laki,AB,Jl.Sudirman No.6,Rungkut,Surabaya Kota,Buddha,Menikah,Pelajar,WNI,Surabaya,1985-06-06,300000
Jawa Timur,3507234567890279,Ahmad Santoso,Laki-laki,O,Jl.Teuku Umar No.7,Tegalsari,Surabaya Kota,Hindu,Belum Menikah,Petani,WNI,Surabaya,1986-07-07,1000000
Jawa Timur,3508234567890280,Ani Pranoto,Perempuan,B,Jl.Merdeka No.8,Dukuh Pakis,Surabaya Kota,Islam,Menikah,Pegawai Negeri,WNI,Surabaya,1987-08-08,7800000
Jawa Timur,3509234567890281,Budi Wijaya,Laki-laki,AB,Jl.Gatot Subroto No.9,Sukomanunggal,Surabaya Kota,Kristen,Belum Menikah,Wiraswasta,WNI,Surabaya,1988-09-09,3200000
Jawa Timur,3510234567890282,Citra Handayani,Perempuan,O,Jl.Diponegoro No.10,Sukolilo,Surabaya Kota,Buddha,Menikah,Pelajar,WNI,Surabaya,1989-10-10,0
Kalimantan Barat,6101234567890293,Nadia Wijaya,Perempuan,B,Jl.Sudirman No.1,Pontianak Selatan,Pontianak Kota,Islam,Menikah,Petani,WNI,Pontianak,1980-01-01,1200000
Kalimantan Barat,6102234567890294,Oscar Santoso,Laki-laki,AB,Jl.Teuku Umar No.2,Pontianak Utara,Pontianak Kota,Kristen,Belum Menikah,Wiraswasta,WNI,Pontianak,1981-02-02,6000000
Kalimantan Barat,6103234567890295,Putri Handayani,Perempuan,O,Jl.Merdeka No.3,Pontianak Timur,Pontianak Kota,Hindu,Menikah,Pelajar,WNI,Pontianak,1982-03-03,500000
Kalimantan Barat,6104234567890296,Qori Setiawan,Laki-laki,B,Jl.Gatot Subroto No.4,Pontianak Barat,Pontianak Kota,Buddha,Menikah,Petani,WNI,Pontianak,1983-04-04,2100000
Kalimantan Barat,6105234567890297,Rina Wulandari,Perempuan,A,Jl.Sudirman No.5,Pontianak Selatan,Pontianak Kota,Islam,Belum Menikah,Pegawai Negeri,WNI,Pontianak,1984-05-05,6800000
Kalimantan Barat,6106234567890298,Sandi Pranoto,Laki-laki,B,Jl.Teuku Umar No.6,Pontianak Utara,Pontianak Kota,Kristen,Menikah,Wiraswasta,WNI,Pontianak,1985-06-06,3600000
Kalimantan Barat,6107234567890299,Tita Santoso,Perempuan,O,Jl.Merdeka No.7,Pontianak Timur,Pontianak Kota,Hindu,Belum Menikah,Pelajar,WNI,Pontianak,1986-07-07,300000
Kalimantan Barat,6108234567890300,Umi Handayani,Perempuan,AB,Jl.Gatot Subroto No.8,Pontianak Barat,Pontianak Kota,Buddha,Menikah,Petani,WNI,Pontianak,1987-08-08,2000000
Kalimantan Barat,6109234567890301,Vivi Setiawan,Perempuan,O,Jl.Sudirman No.9,Pontianak Selatan,Pontianak Kota,Islam,Belum Menikah,Pegawai Negeri,WNI,Pontianak,1988-09-09,6800000
Kalimantan Barat,6110234567890302,Wahyu Pranoto,Laki-laki,B,Jl.Teuku Umar No.10,Pontianak Utara,Pontianak Kota,Kristen,Menikah,Wiraswasta,WNI,Pontianak,1989-10-10,13900000
Kalimantan Selatan,6301234567890313,Gandi Santoso,Laki-laki,B,Jl.Sudirman No.1,Banjarmasin Timur,Banjarmasin Kota,Islam,Menikah,Petani,WNI,Banjarmasin,1980-01-01,2400000
Kalimantan Selatan,6302234567890314,Hadi Setiawan,Laki-laki,AB,Jl.Teuku Umar No.2,Banjarmasin Utara,Banjarmasin Kota,Kristen,Belum Menikah,Pegawai Negeri,WNI,Banjarmasin,1981-02-02,4600000
Kalimantan Selatan,6303234567890315,Indah Wijaya,Perempuan,O,Jl.Merdeka No.3,Banjarmasin Selatan,Banjarmasin Kota,Hindu,Menikah,Wiraswasta,WNI,Banjarmasin,1982-03-03,2200000
Kalimantan Selatan,6304234567890316,Joko Santoso,Laki-laki,A,Jl.Sudirman No.4,Banjarmasin Barat,Banjarmasin Kota,Buddha,Menikah,Pelajar,WNI,Banjarmasin,1983-04-04,500000
Kalimantan Selatan,6305234567890317,Kartika Handayani,Perempuan,B,Jl.Teuku Umar No.5,Banjarmasin Utara,Banjarmasin Kota,Islam,Belum Menikah,Petani,WNI,Banjarmasin,1984-05-05,1100000
